plate	well	response	type	spl
2	91	0.583205	1	183
2	85	0.690503	1	177
2	81	0.775426	1	173
2	71	0.608172	1	163
2	70	0.881796	1	162
2	66	0.619457	1	158
2	49	0.663861	1	141
2	47	0.679323	1	139
2	43	0.743453	1	135
2	42	0.983513	1	134
2	41	0.620365	1	133
2	40	0.587338	1	132
2	37	0.716872	1	129
2	25	0.563777	1	117
2	24	1	1	116
2	17	0.786455	1	109
2	15	0.678078	1	107
2	14	0.650299	1	106
2	11	0.702634	1	103
2	10	0.570653	1	102
2	9	0.886574	1	101
2	7	0.586983	1	99
2	4	0.559807	1	96
2	3	0.550481	1	95
2	2	0.55162	1	94
2	1	0.613403	1	93
1	88	0.616849	1	88
1	82	0.601137	1	82
1	80	0.838641	1	80
1	71	0.567786	1	71
1	67	0.540808	1	67
1	64	1	1	64
1	62	0.951357	1	62
1	55	0.6811	1	55
1	50	0.796484	1	50
1	47	0.871895	1	47
1	43	0.766696	1	43
1	36	0.630027	1	36
1	31	0.871868	1	31
1	30	0.984203	1	30
1	27	0.906493	1	27
1	24	0.623485	1	24
1	20	0.837285	1	20
1	19	0.748664	1	19
1	9	0.600248	1	9
1	7	0.553694	1	7
1	6	0.753216	1	6
1	5	0.986613	1	5
