assay.run.id	plate.order	well	response	bkgrnd.sub	norm	norm.pos	p.enhance	type
2	2	96	0.0041	0	0	0	-113.015564	blank
2	1	96	6.0e-4	0	0	0	-127.23898	blank
2	2	84	0.33134988	0.32724988	0.47060683	0.5633498	-49.34827	unknown
2	1	84	0.064320534	0.06372053	0.098133355	0.11619353	-112.454636	unknown
2	2	72	0.1791013	0.17500131	0.2516634	0.30125892	-78.96862	unknown
2	1	72	0.30629972	0.3056997	0.47079548	0.5574393	-56.31097	unknown
2	2	60	0.1757643	0.17166431	0.24686456	0.2955144	-79.617836	unknown
2	1	60	0.3050204	0.30442038	0.46882525	0.55510646	-56.607796	unknown
2	2	48	0.20219007	0.19809008	0.28486654	0.34100547	-74.47664	unknown
2	1	48	0.6034482	0.60284823	0.92842156	1.0992856	12.6329975	unknown
2	2	36	0.25111833	0.24701834	0.3552286	0.42523384	-64.95752	unknown
2	1	36	0.11681427	0.11621427	0.17897679	0.21191515	-100.27511	unknown
2	2	24	0.20716104	0.20306104	0.29201514	0.34956282	-73.50952	unknown
2	1	24	0.54355484	0.54295486	0.8361823	0.9900708	-1.2633765	unknown
2	2	12	0.08202883	0.077928826	0.112066776	0.13415189	-97.85432	unknown
2	1	12	0.22217312	0.22157313	0.34123558	0.4040356	-75.8299	unknown
2	2	95	0.071	0.0669	0.0962066	0.11516613	-100	negative
2	1	95	0.118	0.1174	0.18080288	0.21407732	-100	negative
2	2	83	0.2924075	0.28830752	0.41460514	0.49631178	-56.924606	unknown
2	1	83	0.122194625	0.12159462	0.18726285	0.22172616	-99.02677	unknown
2	2	71	0.25995317	0.25585318	0.3679337	0.44044274	-63.23868	unknown
2	1	71	0.64992595	0.64932597	1	1.1840371	23.416695	unknown
2	2	59	0.13879351	0.13469352	0.19369812	0.2318704	-86.8106	unknown
2	1	59	0.28967282	0.2890728	0.4451891	0.5271204	-60.16872	unknown
2	2	47	0.37321168	0.3691117	0.53080684	0.63541347	-41.20395	unknown
2	1	47	0.26058522	0.2599852	0.40039247	0.47407955	-66.91758	unknown
2	2	35	0.56089807	0.55679804	0.8007122	0.9585094	-4.6890883	unknown
2	1	35	0.3036281	0.30302808	0.466681	0.55256766	-56.93084	unknown
2	2	23	0.46388224	0.45978224	0.66119707	0.79149985	-23.563765	unknown
2	1	23	0.39702156	0.39642155	0.61051244	0.7228694	-35.261818	unknown
2	2	11	0.30191064	0.29781064	0.42827126	0.5126711	-55.07575	unknown
2	1	11	0.28152856	0.28092855	0.43264645	0.51226944	-62.05834	unknown
2	2	94	0.636	0.63189995	0.9087137	1.0877948	9.922179	positive
2	1	94	0.575	0.5744	0.88460964	1.0474106	6.032481	positive
2	2	82	0.26822862	0.26412863	0.37983432	0.45468864	-61.628674	unknown
2	1	82	0.09901375	0.09841375	0.15156294	0.17945616	-104.40516	unknown
2	2	70	0.5525823	0.5484823	0.7887536	0.9441941	-6.306937	unknown
2	1	70	0.11201216	0.11141216	0.17158125	0.20315857	-101.38929	unknown
2	2	58	0.20430273	0.20020273	0.28790468	0.34464234	-74.06561	unknown
2	1	58	0.29870558	0.29810557	0.45910007	0.5435915	-58.072952	unknown
2	2	46	0.15336956	0.14926957	0.21465944	0.2569626	-83.97479	unknown
2	1	46	0.19687133	0.19627133	0.30226934	0.35789812	-81.700386	unknown
2	2	34	0.5969138	0.5928138	0.8525052	1.0205092	2.317867	unknown
2	1	34	0.25931343	0.25871342	0.39843383	0.47176045	-67.21266	unknown
2	2	22	0.39926755	0.39516756	0.56827694	0.6802678	-36.134716	unknown
2	1	22	0.22498235	0.22438236	0.34556195	0.4091582	-75.17811	unknown
2	2	10	0.41200835	0.40790835	0.586599	0.70220065	-33.65596	unknown
2	1	10	0.227036	0.226436	0.3487247	0.41290298	-74.70162	unknown
2	2	93	0.534	0.52989995	0.762031	0.9122052	-9.922179	positive
2	1	93	0.523	0.5224	0.8045266	0.9525894	-6.032481	positive
2	2	81	0.10344811	0.099348105	0.14286911	0.17102447	-93.68714	unknown
2	1	81	0.1981877	0.1975877	0.3042966	0.36029848	-81.394966	unknown
2	2	69	0.32542822	0.32132822	0.4620911	0.55315584	-50.500343	unknown
2	1	69	0.09839574	0.09779574	0.15061118	0.17832921	-104.54855	unknown
2	2	57	0.18570784	0.18160784	0.261164	0.31263185	-77.6833	unknown
2	1	57	0.4780152	0.4774152	0.7352474	0.8705602	-16.469788	unknown
2	2	45	0.076648965	0.07254896	0.10433018	0.12489063	-98.90098	unknown
2	1	45	0.36275265	0.36215264	0.5577363	0.6603805	-43.21284	unknown
2	2	33	0.14508513	0.14098513	0.20274588	0.2427012	-85.58655	unknown
2	1	33	0.24600688	0.24540688	0.37794095	0.44749615	-70.300026	unknown
2	2	21	0.08027368	0.07617368	0.10954276	0.13113046	-98.195786	unknown
2	1	21	0.04626798	0.04566798	0.070331365	0.083274946	-116.64316	unknown
2	2	9	0.3020509	0.2979509	0.42847297	0.5129126	-55.048462	unknown
2	1	9	0.46944657	0.46884656	0.7220512	0.8549354	-18.457872	unknown
2	2	92	0.55306697	0.54896694	0.7894506	0.94502836	-6.212648	unknown
2	1	92	0.2620218	0.2614218	0.4026049	0.47669914	-66.58427	unknown
2	2	80	0.37838504	0.37428504	0.5382465	0.64431924	-40.19746	unknown
2	1	80	0.3905575	0.3899575	0.6005574	0.7110822	-36.7616	unknown
2	2	68	0.41518426	0.41108426	0.5911662	0.7076679	-33.03808	unknown
2	1	68	0.4708046	0.4702046	0.7241426	0.85741174	-18.142782	unknown
2	2	56	0.4975164	0.4934164	0.7095652	0.8493999	-17.020153	unknown
2	1	56	0.18807085	0.18747085	0.28871608	0.34185058	-83.74226	unknown
2	2	44	0.20069505	0.19659506	0.2827166	0.33843184	-74.7675	unknown
2	1	44	0.08110829	0.080508284	0.12398748	0.14680578	-108.55956	unknown
2	2	32	0.32568833	0.32158834	0.46246517	0.55360365	-50.449738	unknown
2	1	32	0.22305098	0.22245099	0.34258753	0.40563637	-75.62622	unknown
2	2	20	0.26650113	0.26240113	0.37735006	0.4517148	-61.96476	unknown
2	1	20	0.4311927	0.4305927	0.663138	0.78518	-27.33348	unknown
2	2	8	0.29139614	0.28729615	0.41315073	0.49457076	-57.121372	unknown
2	1	8	0.2186704	0.2180704	0.33584118	0.39764842	-76.6426	unknown
2	2	91	0.5636446	0.55954456	0.80466187	0.9632374	-4.1547456	unknown
2	1	91	0.17657295	0.17597295	0.27100864	0.3208843	-86.40999	unknown
2	2	79	0.1693976	0.16529761	0.23770882	0.28455433	-80.8565	unknown
2	1	79	0.13661516	0.13601516	0.20947132	0.24802181	-95.68094	unknown
2	2	67	0.6336004	0.6295004	0.90526295	1.0836641	9.4553385	unknown
2	1	67	0.43363547	0.43303546	0.6669	0.78963435	-26.76671	unknown
2	2	55	0.54049325	0.5363932	0.77136874	0.9233831	-8.658897	unknown
2	1	55	0.48351052	0.4829105	0.7437105	0.88058084	-15.194773	unknown
2	2	43	0.31185144	0.30775145	0.4425668	0.5297839	-53.141743	unknown
2	1	43	0.31212127	0.31152126	0.479761	0.56805485	-54.960262	unknown
2	2	31	0.6994785	0.6953785	1	1.197071	22.272089	unknown
2	1	31	0.29768133	0.29708132	0.45752266	0.5417238	-58.310596	unknown
2	2	19	0.17899485	0.17489485	0.2515103	0.30107567	-78.98933	unknown
2	1	19	0.29528058	0.29468057	0.45382535	0.53734607	-58.867615	unknown
2	2	7	0.45698404	0.45288405	0.651277	0.7796248	-24.905825	unknown
2	1	7	0.11839129	0.11779129	0.18140548	0.21479084	-99.90921	unknown
2	2	90	0.18180431	0.17770432	0.25555047	0.30591208	-78.44274	unknown
2	1	90	0.07164439	0.071044385	0.10941252	0.12954849	-110.75536	unknown
2	2	78	0.30720252	0.30310252	0.43588135	0.5217809	-54.0462	unknown
2	1	78	0.21954325	0.21894325	0.33718544	0.39924008	-76.44008	unknown
2	2	66	0.1858875	0.1817875	0.26142237	0.31294113	-77.648346	unknown
2	1	66	0.20793316	0.20733316	0.3193052	0.37806922	-79.133835	unknown
2	2	54	0.49560645	0.49150646	0.7068186	0.846112	-17.391737	unknown
2	1	54	0.36150578	0.36090577	0.55581605	0.6581068	-43.50214	unknown
2	2	42	0.3050973	0.30099732	0.4328539	0.5181569	-54.455772	unknown
2	1	42	0.19524461	0.19464462	0.2997641	0.35493183	-82.07782	unknown
2	2	30	0.31676432	0.31266433	0.44963184	0.53824127	-52.18593	unknown
2	1	30	0.3367083	0.3361083	0.51762646	0.612889	-49.25561	unknown
