plate	well	response	type	spl
2	92	0.5625701	1	552
2	86	0.8355061	1	546
2	82	0.5622861	1	542
2	79	0.4506887	1	539
2	77	0.63618326	1	537
2	73	0.6727795	1	533
2	71	0.7763179	1	531
2	65	0.6288091	1	525
2	64	0.47443855	1	524
2	61	0.4647573	1	521
2	53	0.4743522	1	513
2	52	0.50250334	1	512
2	51	0.48819107	1	511
2	46	0.46677572	1	506
2	43	0.494685	1	503
2	41	0.45829397	1	501
2	33	0.6452268	1	493
2	32	0.51592	1	492
2	30	0.57131857	1	490
2	28	0.49036077	1	488
2	22	0.45768547	1	482
2	20	0.66884977	1	480
2	17	0.67214686	1	477
2	12	0.45866257	1	472
2	11	0.7026281	1	471
2	10	0.55608845	1	470
2	9	0.47747612	1	469
2	7	0.56038123	1	467
2	6	1	1	466
2	5	0.4718041	1	465
2	4	0.5205362	1	464
1	89	0.739022	1	457
1	88	0.5488354	1	456
1	86	0.7707398	1	454
1	83	0.76245207	1	451
1	82	0.53321284	1	450
1	80	0.5066096	1	448
1	79	0.79761726	1	447
1	78	0.7155393	1	446
1	77	0.88192344	1	445
1	75	0.9155168	1	443
1	74	0.45798844	1	442
1	72	0.726241	1	440
1	69	0.55563104	1	437
1	67	0.5558248	1	435
1	66	0.63179505	1	434
1	59	0.506206	1	427
1	58	0.5087011	1	426
1	56	0.4760865	1	424
1	54	1	1	422
1	52	0.8602479	1	420
1	49	0.7693301	1	417
1	48	0.4351658	1	416
1	46	0.5133594	1	414
1	45	0.55817425	1	413
1	43	0.81307334	1	411
1	41	0.56531024	1	409
1	40	0.5803318	1	408
1	39	0.45306993	1	407
1	38	0.5741792	1	406
1	36	0.52754253	1	404
1	34	0.90697396	1	402
1	33	0.5153123	1	401
1	28	0.70059246	1	396
1	26	0.50025755	1	394
1	25	0.53226984	1	393
1	23	0.5445075	1	391
1	21	0.68330777	1	389
1	19	0.5814108	1	387
1	17	0.6934554	1	385
1	16	0.4825683	1	384
1	15	0.8213314	1	383
1	11	0.51813906	1	379
1	7	0.75421196	1	375
1	6	0.5563166	1	374
1	4	0.6986913	1	372
1	3	0.50968903	1	371
1	2	0.5094533	1	370
