plate	well	response	type	spl
2	92	-77.0763	1	184
2	91	-51.7853	1	183
2	90	-90.9771	1	182
2	88	-65.065	1	180
2	87	-83.8944	1	179
2	85	-35.578	1	177
2	83	-87.9261	1	175
2	82	-75.5811	1	174
2	81	-22.7504	1	173
2	80	-92.1131	1	172
2	77	-75.2515	1	169
2	76	-78.4956	1	168
2	75	-79.6068	1	167
2	73	-73.0804	1	165
2	72	-80.5359	1	164
2	71	-48.014	1	163
2	70	-6.68328	1	162
2	69	-72.794	1	161
2	66	-46.3095	1	158
2	65	-76.8435	1	157
2	64	-74.4066	1	156
2	60	-85.3381	1	152
2	59	-82.9923	1	151
2	58	-66.9126	1	150
2	55	-98.4522	1	147
2	54	-85.2849	1	146
2	52	-96.755	1	144
2	51	-68.0765	1	143
2	50	-78.8688	1	142
2	49	-39.6022	1	141
2	47	-37.2668	1	139
2	45	-73.0421	1	137
2	44	-98.3287	1	136
2	43	-27.58	1	135
2	42	8.68102	1	134
2	41	-46.1724	1	133
2	40	-51.161	1	132
2	37	-31.5949	1	129
2	36	-67.5974	1	128
2	35	-70.8497	1	127
2	34	-71.7813	1	126
2	31	-64.1724	1	123
2	29	-73.2137	1	121
2	25	-54.72	1	117
2	24	11.1714	1	116
2	23	-83.9107	1	115
2	21	-98.7259	1	113
2	20	-82.5508	1	112
2	18	-85.2299	1	110
2	17	-21.0846	1	109
2	16	-66.5512	1	108
2	15	-37.4549	1	107
2	14	-41.6508	1	106
2	12	-68.5514	1	104
2	11	-33.7457	1	103
2	10	-53.6813	1	102
2	9	-5.96149	1	101
2	8	-82.324	1	100
2	7	-51.2147	1	99
2	6	-76.3991	1	98
2	5	-65.1048	1	97
2	4	-55.3196	1	96
2	3	-56.7283	1	95
2	2	-56.5563	1	94
2	1	-47.2239	1	93
1	92	-73.2159	1	92
1	91	-74.1127	1	91
1	90	-81.6665	1	90
1	89	-89.9274	1	89
1	88	-34.6222	1	88
1	87	-74.3015	1	87
1	86	-64.4419	1	86
1	84	-60.1208	1	84
1	83	-91.8286	1	83
1	82	-36.6018	1	82
1	81	-94.8046	1	81
1	80	-6.67851	1	80
1	79	-87.9373	1	79
1	78	-72.5466	1	78
1	76	-63.8252	1	76
1	75	-54.7968	1	75
1	74	-82.3597	1	74
1	73	-98.7693	1	73
1	72	-71.7665	1	72
1	71	-40.8038	1	71
1	70	-94.7471	1	70
1	69	-70.6878	1	69
1	68	-73.2227	1	68
1	67	-44.2028	1	67
1	66	-78.5036	1	66
1	65	-91.1667	1	65
1	64	13.6513	1	64
1	63	-77.2484	1	63
1	62	7.52269	1	62
1	61	-52.0183	1	61
1	60	-98.4795	1	60
1	59	-61.4819	1	59
1	57	-64.6667	1	57
1	56	-75.4648	1	56
1	55	-26.5272	1	55
1	54	-70.4753	1	54
1	53	-92.0931	1	53
1	52	-99.6361	1	52
1	51	-81.0969	1	51
1	50	-11.9899	1	50
1	49	-53.3824	1	49
1	48	-74.6473	1	48
1	47	-2.48877	1	47
1	46	-79.7652	1	46
1	45	-92.1577	1	45
1	44	-81.7749	1	44
1	43	-15.7429	1	43
1	42	-77.3726	1	42
1	41	-45.668	1	41
1	40	-89.1263	1	40
1	39	-55.7784	1	39
1	36	-32.9619	1	36
1	35	-47.4819	1	35
1	34	-99.7999	1	34
1	33	-61.7576	1	33
1	32	-97.492	1	32
1	31	-2.4922	1	31
1	30	11.661	1	30
1	29	-71.7518	1	29
1	28	-87.4586	1	28
1	27	1.87021	1	27
1	26	-56.9743	1	26
1	24	-33.7862	1	24
1	23	-76.0665	1	23
1	22	-83.5116	1	22
1	21	-71.3403	1	21
1	20	-6.84928	1	20
1	19	-18.0147	1	19
1	18	-98.5633	1	18
1	17	-50.5309	1	17
1	16	-47.7833	1	16
1	15	-92.0432	1	15
1	14	-84.5796	1	14
1	12	-61.3794	1	12
1	11	-88.049	1	11
1	10	-49.2695	1	10
1	9	-36.7138	1	9
1	8	-88.6711	1	8
1	7	-42.5793	1	7
1	6	-17.4413	1	6
1	5	11.9647	1	5
1	4	-75.0674	1	4
1	3	-89.1627	1	3
1	2	-67.9533	1	2
1	1	-64.6179	1	1
