format	well	type	row	row.num	col	replicates	targets
1536	1	1	A	1	1	1	1
1536	3	1	C	3	1	1	1
1536	5	1	E	5	1	1	1
1536	7	1	G	7	1	1	1
1536	9	1	I	9	1	1	1
1536	11	1	K	11	1	1	1
1536	13	1	M	13	1	1	1
1536	15	1	O	15	1	1	1
1536	17	1	Q	17	1	1	1
1536	19	1	S	19	1	1	1
1536	21	1	U	21	1	1	1
1536	23	1	W	23	1	1	1
1536	25	1	Y	25	1	1	1
1536	27	1	AA	27	1	1	1
1536	29	1	AC	29	1	1	1
1536	31	1	AE	31	1	1	1
1536	65	1	A	1	3	1	1
1536	67	1	C	3	3	1	1
1536	69	1	E	5	3	1	1
1536	71	1	G	7	3	1	1
1536	73	1	I	9	3	1	1
1536	75	1	K	11	3	1	1
1536	77	1	M	13	3	1	1
1536	79	1	O	15	3	1	1
1536	81	1	Q	17	3	1	1
1536	83	1	S	19	3	1	1
1536	85	1	U	21	3	1	1
1536	87	1	W	23	3	1	1
1536	89	1	Y	25	3	1	1
1536	91	1	AA	27	3	1	1
1536	93	1	AC	29	3	1	1
1536	95	1	AE	31	3	1	1
1536	129	1	A	1	5	1	1
1536	131	1	C	3	5	1	1
1536	133	1	E	5	5	1	1
1536	135	1	G	7	5	1	1
1536	137	1	I	9	5	1	1
1536	139	1	K	11	5	1	1
1536	141	1	M	13	5	1	1
1536	143	1	O	15	5	1	1
1536	145	1	Q	17	5	1	1
1536	147	1	S	19	5	1	1
1536	149	1	U	21	5	1	1
1536	151	1	W	23	5	1	1
1536	153	1	Y	25	5	1	1
1536	155	1	AA	27	5	1	1
1536	157	1	AC	29	5	1	1
1536	159	1	AE	31	5	1	1
1536	193	1	A	1	7	1	1
1536	195	1	C	3	7	1	1
1536	197	1	E	5	7	1	1
1536	199	1	G	7	7	1	1
1536	201	1	I	9	7	1	1
1536	203	1	K	11	7	1	1
1536	205	1	M	13	7	1	1
1536	207	1	O	15	7	1	1
1536	209	1	Q	17	7	1	1
1536	211	1	S	19	7	1	1
1536	213	1	U	21	7	1	1
1536	215	1	W	23	7	1	1
1536	217	1	Y	25	7	1	1
1536	219	1	AA	27	7	1	1
1536	221	1	AC	29	7	1	1
1536	223	1	AE	31	7	1	1
1536	257	1	A	1	9	1	1
1536	259	1	C	3	9	1	1
1536	261	1	E	5	9	1	1
1536	263	1	G	7	9	1	1
1536	265	1	I	9	9	1	1
1536	267	1	K	11	9	1	1
1536	269	1	M	13	9	1	1
1536	271	1	O	15	9	1	1
1536	273	1	Q	17	9	1	1
1536	275	1	S	19	9	1	1
1536	277	1	U	21	9	1	1
1536	279	1	W	23	9	1	1
1536	281	1	Y	25	9	1	1
1536	283	1	AA	27	9	1	1
1536	285	1	AC	29	9	1	1
1536	287	1	AE	31	9	1	1
1536	321	1	A	1	11	1	1
1536	323	1	C	3	11	1	1
1536	325	1	E	5	11	1	1
1536	327	1	G	7	11	1	1
1536	329	1	I	9	11	1	1
1536	331	1	K	11	11	1	1
1536	333	1	M	13	11	1	1
1536	335	1	O	15	11	1	1
1536	337	1	Q	17	11	1	1
1536	339	1	S	19	11	1	1
1536	341	1	U	21	11	1	1
1536	343	1	W	23	11	1	1
1536	345	1	Y	25	11	1	1
1536	347	1	AA	27	11	1	1
1536	349	1	AC	29	11	1	1
1536	351	1	AE	31	11	1	1
1536	385	1	A	1	13	1	1
1536	387	1	C	3	13	1	1
1536	389	1	E	5	13	1	1
1536	391	1	G	7	13	1	1
1536	393	1	I	9	13	1	1
1536	395	1	K	11	13	1	1
1536	397	1	M	13	13	1	1
1536	399	1	O	15	13	1	1
1536	401	1	Q	17	13	1	1
1536	403	1	S	19	13	1	1
1536	405	1	U	21	13	1	1
1536	407	1	W	23	13	1	1
1536	409	1	Y	25	13	1	1
1536	411	1	AA	27	13	1	1
1536	413	1	AC	29	13	1	1
1536	415	1	AE	31	13	1	1
1536	449	1	A	1	15	1	1
1536	451	1	C	3	15	1	1
1536	453	1	E	5	15	1	1
1536	455	1	G	7	15	1	1
1536	457	1	I	9	15	1	1
1536	459	1	K	11	15	1	1
1536	461	1	M	13	15	1	1
1536	463	1	O	15	15	1	1
1536	465	1	Q	17	15	1	1
1536	467	1	S	19	15	1	1
1536	469	1	U	21	15	1	1
1536	471	1	W	23	15	1	1
1536	473	1	Y	25	15	1	1
1536	475	1	AA	27	15	1	1
1536	477	1	AC	29	15	1	1
1536	479	1	AE	31	15	1	1
1536	513	1	A	1	17	1	1
1536	515	1	C	3	17	1	1
1536	517	1	E	5	17	1	1
1536	519	1	G	7	17	1	1
1536	521	1	I	9	17	1	1
1536	523	1	K	11	17	1	1
1536	525	1	M	13	17	1	1
1536	527	1	O	15	17	1	1
1536	529	1	Q	17	17	1	1
1536	531	1	S	19	17	1	1
1536	533	1	U	21	17	1	1
1536	535	1	W	23	17	1	1
1536	537	1	Y	25	17	1	1
1536	539	1	AA	27	17	1	1
1536	541	1	AC	29	17	1	1
1536	543	1	AE	31	17	1	1
1536	577	1	A	1	19	1	1
1536	579	1	C	3	19	1	1
1536	581	1	E	5	19	1	1
1536	583	1	G	7	19	1	1
1536	585	1	I	9	19	1	1
1536	587	1	K	11	19	1	1
1536	589	1	M	13	19	1	1
1536	591	1	O	15	19	1	1
1536	593	1	Q	17	19	1	1
1536	595	1	S	19	19	1	1
1536	597	1	U	21	19	1	1
1536	599	1	W	23	19	1	1
1536	601	1	Y	25	19	1	1
1536	603	1	AA	27	19	1	1
1536	605	1	AC	29	19	1	1
1536	607	1	AE	31	19	1	1
1536	641	1	A	1	21	1	1
1536	643	1	C	3	21	1	1
1536	645	1	E	5	21	1	1
1536	647	1	G	7	21	1	1
1536	649	1	I	9	21	1	1
1536	651	1	K	11	21	1	1
1536	653	1	M	13	21	1	1
1536	655	1	O	15	21	1	1
1536	657	1	Q	17	21	1	1
1536	659	1	S	19	21	1	1
1536	661	1	U	21	21	1	1
1536	663	1	W	23	21	1	1
1536	665	1	Y	25	21	1	1
1536	667	1	AA	27	21	1	1
1536	669	1	AC	29	21	1	1
1536	671	1	AE	31	21	1	1
1536	705	1	A	1	23	1	1
1536	707	1	C	3	23	1	1
1536	709	1	E	5	23	1	1
1536	711	1	G	7	23	1	1
1536	713	1	I	9	23	1	1
1536	715	1	K	11	23	1	1
1536	717	1	M	13	23	1	1
1536	719	1	O	15	23	1	1
1536	721	1	Q	17	23	1	1
1536	723	1	S	19	23	1	1
1536	725	1	U	21	23	1	1
1536	727	1	W	23	23	1	1
1536	729	1	Y	25	23	1	1
1536	731	1	AA	27	23	1	1
1536	733	1	AC	29	23	1	1
1536	735	1	AE	31	23	1	1
1536	769	1	A	1	25	1	1
1536	771	1	C	3	25	1	1
1536	773	1	E	5	25	1	1
1536	775	1	G	7	25	1	1
1536	777	1	I	9	25	1	1
1536	779	1	K	11	25	1	1
1536	781	1	M	13	25	1	1
1536	783	1	O	15	25	1	1
1536	785	1	Q	17	25	1	1
1536	787	1	S	19	25	1	1
1536	789	1	U	21	25	1	1
1536	791	1	W	23	25	1	1
1536	793	1	Y	25	25	1	1
1536	795	1	AA	27	25	1	1
1536	797	1	AC	29	25	1	1
1536	799	1	AE	31	25	1	1
1536	833	1	A	1	27	1	1
1536	835	1	C	3	27	1	1
1536	837	1	E	5	27	1	1
1536	839	1	G	7	27	1	1
1536	841	1	I	9	27	1	1
1536	843	1	K	11	27	1	1
1536	845	1	M	13	27	1	1
1536	847	1	O	15	27	1	1
1536	849	1	Q	17	27	1	1
1536	851	1	S	19	27	1	1
1536	853	1	U	21	27	1	1
1536	855	1	W	23	27	1	1
1536	857	1	Y	25	27	1	1
1536	859	1	AA	27	27	1	1
1536	861	1	AC	29	27	1	1
1536	863	1	AE	31	27	1	1
1536	897	1	A	1	29	1	1
1536	899	1	C	3	29	1	1
1536	901	1	E	5	29	1	1
1536	903	1	G	7	29	1	1
1536	905	1	I	9	29	1	1
1536	907	1	K	11	29	1	1
1536	909	1	M	13	29	1	1
1536	911	1	O	15	29	1	1
1536	913	1	Q	17	29	1	1
1536	915	1	S	19	29	1	1
1536	917	1	U	21	29	1	1
1536	919	1	W	23	29	1	1
1536	921	1	Y	25	29	1	1
1536	923	1	AA	27	29	1	1
1536	925	1	AC	29	29	1	1
1536	927	1	AE	31	29	1	1
1536	961	1	A	1	31	1	1
1536	963	1	C	3	31	1	1
1536	965	1	E	5	31	1	1
1536	967	1	G	7	31	1	1
1536	969	1	I	9	31	1	1
1536	971	1	K	11	31	1	1
1536	973	1	M	13	31	1	1
1536	975	1	O	15	31	1	1
1536	977	1	Q	17	31	1	1
1536	979	1	S	19	31	1	1
1536	981	1	U	21	31	1	1
1536	983	1	W	23	31	1	1
1536	985	1	Y	25	31	1	1
1536	987	1	AA	27	31	1	1
1536	989	1	AC	29	31	1	1
1536	991	1	AE	31	31	1	1
1536	1025	1	A	1	33	1	1
1536	1027	1	C	3	33	1	1
