AssayRun	PlateSet	Plate	PlateOrder	Well	WellType	WellNum	Response	Bk_Sub	Norm	NormPos	pEnhanced	Sample	accession	Target
AR-3	PS-3	PLT-6	2	H12	blank	96	0.0011	-4.553649E-18	-1.5497617E-22	-1.8662496E-22	-104.2735			1
AR-3	PS-3	PLT-6	2	G12	negative	95	1000.0	999.9989	0.03403336	0.04098356	-100.0			1
AR-3	PS-3	PLT-6	2	F12	positive	94	26900.0	26899.998	0.91549844	1.102459	10.683761			1
AR-3	PS-3	PLT-6	2	E12	positive	93	21900.0	21899.998	0.7453314	0.8975409	-10.683761			1
AR-3	PS-3	PLT-6	2	D12	unknown	92	16529.945	16529.943	0.5625702	0.67745674	-33.632713	SPL-552		1
AR-3	PS-3	PLT-6	2	C12	unknown	91	9290.501	9290.5	0.3161873	0.3807582	-64.57051	SPL-551		1
AR-3	PS-3	PLT-6	2	B12	unknown	90	1062.8169	1062.8158	0.036171235	0.043558024	-99.73155	SPL-550		1
AR-3	PS-3	PLT-6	2	A12	unknown	89	9301.775	9301.774	0.316571	0.38122025	-64.52232	SPL-549		1
AR-3	PS-3	PLT-6	2	H11	unknown	88	9225.693	9225.692	0.31398168	0.37810215	-64.847466	SPL-548		1
AR-3	PS-3	PLT-6	2	G11	unknown	87	6528.0566	6528.0557	0.22217193	0.26754326	-76.375824	SPL-547		1
AR-3	PS-3	PLT-6	2	F11	unknown	86	24549.598	24549.596	0.83550626	1.006131	0.63930625	SPL-546		1
AR-3	PS-3	PLT-6	2	E11	unknown	85	11994.414	11994.413	0.40821066	0.4915743	-53.015324	SPL-545		1
AR-3	PS-3	PLT-6	2	D11	unknown	84	5012.3354	5012.3345	0.17058678	0.20542353	-82.853264	SPL-544		1
AR-3	PS-3	PLT-6	2	C11	unknown	83	11438.424	11438.423	0.38928843	0.46878782	-55.39135	SPL-543		1
AR-3	PS-3	PLT-6	2	B11	unknown	82	16521.6	16521.598	0.5622862	0.67711467	-33.668377	SPL-542		1
AR-3	PS-3	PLT-6	2	A11	unknown	81	4987.997	4987.996	0.16975847	0.20442607	-82.957275	SPL-541		1
AR-3	PS-3	PLT-6	2	H10	unknown	80	9556.238	9556.237	0.32523125	0.39164907	-63.43488	SPL-540		1
AR-3	PS-3	PLT-6	2	G10	unknown	79	13242.544	13242.543	0.45068875	0.5427272	-47.681435	SPL-539		1
AR-3	PS-3	PLT-6	2	F10	unknown	78	3552.6301	3552.629	0.120908044	0.14559954	-89.091324	SPL-538		1
AR-3	PS-3	PLT-6	2	E10	unknown	77	18692.914	18692.912	0.6361834	0.76610297	-24.389256	SPL-537		1
AR-3	PS-3	PLT-6	2	D10	unknown	76	6487.0215	6487.0205	0.22077537	0.26586148	-76.55119	SPL-536		1
AR-3	PS-3	PLT-6	2	C10	unknown	75	7975.431	7975.43	0.271431	0.3268619	-70.19047	SPL-535		1
AR-3	PS-3	PLT-6	2	B10	unknown	74	11210.767	11210.766	0.38154048	0.4594576	-56.364246	SPL-534		1
AR-3	PS-3	PLT-6	2	A10	unknown	73	19768.217	19768.215	0.6727796	0.8101728	-19.793945	SPL-533		1
AR-3	PS-3	PLT-6	2	H09	unknown	72	11761.188	11761.1875	0.4002732	0.48201588	-54.012016	SPL-532		1
AR-3	PS-3	PLT-6	2	G09	unknown	71	22810.477	22810.475	0.7763181	0.9348556	-6.792835	SPL-531		1
AR-3	PS-3	PLT-6	2	F09	unknown	70	3948.108	3948.1067	0.1343675	0.16180766	-87.401245	SPL-530		1
AR-3	PS-3	PLT-6	2	E09	unknown	69	3555.6875	3555.6863	0.1210121	0.14572485	-89.07826	SPL-529		1
AR-3	PS-3	PLT-6	2	D09	unknown	68	8456.091	8456.09	0.2877895	0.34656104	-68.13637	SPL-528		1
AR-3	PS-3	PLT-6	2	C09	unknown	67	4109.781	4109.78	0.13986978	0.16843359	-86.71034	SPL-527		1
AR-3	PS-3	PLT-6	2	B09	unknown	66	6277.1846	6277.1836	0.2136339	0.2572616	-77.44793	SPL-526		1
