AssayRun	PlateSet	Plate	PlateOrder	Well	WellType	WellNum	Response	Bk_Sub	Norm	NormPos	pEnhanced	Sample	accession	Target
AR-2	PS-2	PLT-4	2	H12	blank	96	0.0041	-2.6020852E-18	-3.7200335E-18	-4.448009E-18	-113.015564			1
AR-2	PS-2	PLT-4	2	G12	negative	95	0.071	0.0669	0.09564262	0.114358984	-100.0			1
AR-2	PS-2	PLT-4	2	F12	positive	94	0.636	0.63189995	0.90338665	1.080171	9.922179			1
AR-2	PS-2	PLT-4	2	E12	positive	93	0.534	0.52989995	0.7575638	0.90581197	-9.922179			1
AR-2	PS-2	PLT-4	2	D12	unknown	92	0.55306697	0.54896694	0.78482264	0.9384051	-6.212648	SPL-368		1
AR-2	PS-2	PLT-4	2	C12	unknown	91	0.5636446	0.55954456	0.7999448	0.9564865	-4.1547456	SPL-367		1
AR-2	PS-2	PLT-4	2	B12	unknown	90	0.18180431	0.17770432	0.2540524	0.30376807	-78.44274	SPL-366		1
AR-2	PS-2	PLT-4	2	A12	unknown	89	0.19939883	0.19529884	0.27920613	0.33384416	-75.019684	SPL-365		1
AR-2	PS-2	PLT-4	2	H11	unknown	88	0.34565875	0.34155875	0.4883045	0.5838611	-46.564445	SPL-364		1
AR-2	PS-2	PLT-4	2	G11	unknown	87	0.35019785	0.34609786	0.49479377	0.59162027	-45.68135	SPL-363		1
AR-2	PS-2	PLT-4	2	F11	unknown	86	0.42333844	0.41923845	0.59935814	0.7166469	-31.451662	SPL-362		1
AR-2	PS-2	PLT-4	2	E11	unknown	85	0.19796874	0.19386874	0.27716163	0.33139956	-75.29791	SPL-361		1
AR-2	PS-2	PLT-4	2	D11	unknown	84	0.33134988	0.32724988	0.46784803	0.5594015	-49.34827	SPL-360		1
AR-2	PS-2	PLT-4	2	C11	unknown	83	0.2924075	0.28830752	0.41217464	0.49283338	-56.924606	SPL-359		1
AR-2	PS-2	PLT-4	2	B11	unknown	82	0.26822862	0.26412863	0.37760764	0.45150194	-61.628674	SPL-358		1
AR-2	PS-2	PLT-4	2	A11	unknown	81	0.10344811	0.099348105	0.14203158	0.16982584	-93.68714	SPL-357		1
AR-2	PS-2	PLT-4	2	H10	unknown	80	0.37838504	0.37428504	0.53509116	0.6398035	-40.19746	SPL-356		1
AR-2	PS-2	PLT-4	2	G10	unknown	79	0.1693976	0.16529761	0.23631532	0.28256002	-80.8565	SPL-355		1
AR-2	PS-2	PLT-4	2	F10	unknown	78	0.30720252	0.30310252	0.43332613	0.518124	-54.0462	SPL-354		1
AR-2	PS-2	PLT-4	2	E10	unknown	77	0.07653094	0.07243094	0.103549846	0.12381358	-98.92394	SPL-353		1
AR-2	PS-2	PLT-4	2	D10	unknown	76	0.38382354	0.37972355	0.54286623	0.6491001	-39.139385	SPL-352		1
AR-2	PS-2	PLT-4	2	C10	unknown	75	0.6197185	0.61561847	0.88011	1.0523393	6.754575	SPL-351		1
AR-2	PS-2	PLT-4	2	B10	unknown	74	0.30631605	0.30221605	0.43205878	0.51660866	-54.218666	SPL-350		1
AR-2	PS-2	PLT-4	2	A10	unknown	73	0.05087123	0.046771232	0.06686581	0.079950824	-103.91611	SPL-349		1
AR-2	PS-2	PLT-4	2	H09	unknown	72	0.1791013	0.17500131	0.25018808	0.29914755	-78.96862	SPL-348		1
AR-2	PS-2	PLT-4	2	G09	unknown	71	0.25995317	0.25585318	0.36577678	0.43735588	-63.23868	SPL-347		1
AR-2	PS-2	PLT-4	2	F09	unknown	70	0.5525823	0.5484823	0.7841298	0.93757665	-6.306937	SPL-346		1
AR-2	PS-2	PLT-4	2	E09	unknown	69	0.32542822	0.32132822	0.45938224	0.54927903	-50.500343	SPL-345		1
AR-2	PS-2	PLT-4	2	D09	unknown	68	0.41518426	0.41108426	0.58770066	0.7027082	-33.03808	SPL-344		1
AR-2	PS-2	PLT-4	2	C09	unknown	67	0.6336004	0.6295004	0.8999561	1.0760691	9.4553385	SPL-343		1
AR-2	PS-2	PLT-4	2	B09	unknown	66	0.1858875	0.1817875	0.25988987	0.31074786	-77.648346	SPL-342		1
AR-2	PS-2	PLT-4	2	A09	unknown	65	0.10536678	0.10126678	0.14477459	0.17310561	-93.31386	SPL-341		1
AR-2	PS-2	PLT-4	2	H08	unknown	64	0.17600031	0.17190032	0.2457548	0.2938467	-79.57192	SPL-340		1
AR-2	PS-2	PLT-4	2	G08	unknown	63	0.27495956	0.27085957	0.38723046	0.4630078	-60.31915	SPL-339		1
AR-2	PS-2	PLT-4	2	F08	unknown	62	0.47431612	0.47021613	0.67223763	0.80378824	-21.533825	SPL-338		1
AR-2	PS-2	PLT-4	2	E08	unknown	61	0.1385545	0.1344545	0.19222093	0.22983676	-86.8571	SPL-337		1
AR-2	PS-2	PLT-4	2	D08	unknown	60	0.1757643	0.17166431	0.24541739	0.29344326	-79.617836	SPL-336		1
AR-2	PS-2	PLT-4	2	C08	unknown	59	0.13879351	0.13469352	0.19256262	0.23024534	-86.8106	SPL-335		1
AR-2	PS-2	PLT-4	2	B08	unknown	58	0.20430273	0.20020273	0.2862169	0.3422269	-74.06561	SPL-334		1
AR-2	PS-2	PLT-4	2	A08	unknown	57	0.18570784	0.18160784	0.259633	0.31044075	-77.6833	SPL-333		1
AR-2	PS-2	PLT-4	2	H07	unknown	56	0.4975164	0.4934164	0.7054056	0.84344685	-17.020153	SPL-332		1
AR-2	PS-2	PLT-4	2	G07	unknown	55	0.54049325	0.5363932	0.76684684	0.91691154	-8.658897	SPL-331		1
AR-2	PS-2	PLT-4	2	F07	unknown	54	0.49560645	0.49150646	0.70267504	0.840182	-17.391737	SPL-330		1
AR-2	PS-2	PLT-4	2	E07	unknown	53	0.39271176	0.38861176	0.55557317	0.66429365	-37.41016	SPL-329		1
AR-2	PS-2	PLT-4	2	D07	unknown	52	0.39296886	0.38886887	0.55594075	0.6647331	-37.36014	SPL-328		1
AR-2	PS-2	PLT-4	2	C07	unknown	51	0.23554406	0.23144406	0.33088064	0.39563087	-67.98753	SPL-327		1
AR-2	PS-2	PLT-4	2	B07	unknown	50	0.19881147	0.19471148	0.27836642	0.33284014	-75.13396	SPL-326		1
AR-2	PS-2	PLT-4	2	A07	unknown	49	0.22852373	0.22442374	0.32084414	0.38363034	-69.353355	SPL-325		1
AR-2	PS-2	PLT-4	2	H06	unknown	48	0.20219007	0.19809008	0.2831966	0.3386155	-74.47664	SPL-324		1
AR-2	PS-2	PLT-4	2	G06	unknown	47	0.37321168	0.3691117	0.5276952	0.63096017	-41.20395	SPL-323		1
AR-2	PS-2	PLT-4	2	F06	unknown	46	0.15336956	0.14926957	0.21340106	0.25516164	-83.97479	SPL-322		1
AR-2	PS-2	PLT-4	2	E06	unknown	45	0.076648965	0.07254896	0.10371858	0.12401533	-98.90098	SPL-321		1
AR-2	PS-2	PLT-4	2	D06	unknown	44	0.20069505	0.19659506	0.28105927	0.33605993	-74.7675	SPL-320		1
AR-2	PS-2	PLT-4	2	C06	unknown	43	0.31185144	0.30775145	0.43997237	0.52607083	-53.141743	SPL-319		1
AR-2	PS-2	PLT-4	2	B06	unknown	42	0.3050973	0.30099732	0.43031645	0.51452535	-54.455772	SPL-318		1
AR-2	PS-2	PLT-4	2	A06	unknown	41	0.10747203	0.10337203	0.14778432	0.17670433	-92.904274	SPL-317		1
AR-2	PS-2	PLT-4	2	H05	unknown	40	0.18551834	0.18141834	0.2593621	0.31011683	-77.72017	SPL-316		1
AR-2	PS-2	PLT-4	2	G05	unknown	39	0.30276844	0.29866844	0.426987	0.51054436	-54.908863	SPL-315		1
AR-2	PS-2	PLT-4	2	F05	unknown	38	0.37454847	0.37044847	0.5296063	0.6332453	-40.943874	SPL-314		1
AR-2	PS-2	PLT-4	2	E05	unknown	37	0.4026987	0.3985987	0.56985086	0.6813653	-35.46718	SPL-313		1
AR-2	PS-2	PLT-4	2	D05	unknown	36	0.25111833	0.24701834	0.35314617	0.42225358	-64.95752	SPL-312		1
AR-2	PS-2	PLT-4	2	C05	unknown	35	0.56089807	0.55679804	0.7960183	0.9517916	-4.6890883	SPL-311		1
AR-2	PS-2	PLT-4	2	B05	unknown	34	0.5969138	0.5928138	0.84750766	1.013357	2.317867	SPL-310		1
AR-2	PS-2	PLT-4	2	A05	unknown	33	0.14508513	0.14098513	0.20155734	0.24100022	-85.58655	SPL-309		1
AR-2	PS-2	PLT-4	2	H04	unknown	32	0.32568833	0.32158834	0.45975408	0.5497237	-50.449738	SPL-308		1
AR-2	PS-2	PLT-4	2	G04	unknown	31	0.6994785	0.6953785	0.99413776	1.1886812	22.272089	SPL-307		1
AR-2	PS-2	PLT-4	2	F04	unknown	30	0.31676432	0.31266433	0.446996	0.53446895	-52.18593	SPL-306		1
AR-2	PS-2	PLT-4	2	E04	unknown	29	0.39402983	0.38992983	0.5574575	0.66654676	-37.15373	SPL-305		1
AR-2	PS-2	PLT-4	2	D04	unknown	28	0.2721116	0.2680116	0.3831589	0.4581395	-60.87323	SPL-304		1
AR-2	PS-2	PLT-4	2	C04	unknown	27	0.31955045	0.31545046	0.45097917	0.53923154	-51.64388	SPL-303		1
AR-2	PS-2	PLT-4	2	B04	unknown	26	0.04884907	0.04474907	0.06397486	0.076494135	-104.30952	SPL-302		1
AR-2	PS-2	PLT-4	2	A04	unknown	25	0.10349684	0.09939684	0.14210126	0.16990913	-93.67766	SPL-301		1
AR-2	PS-2	PLT-4	2	H03	unknown	24	0.20716104	0.20306104	0.29030326	0.3471129	-73.50952	SPL-300		1
AR-2	PS-2	PLT-4	2	G03	unknown	23	0.46388224	0.45978224	0.657321	0.78595257	-23.563765	SPL-299		1
AR-2	PS-2	PLT-4	2	F03	unknown	22	0.39926755	0.39516756	0.5649456	0.6755001	-36.134716	SPL-298		1
AR-2	PS-2	PLT-4	2	E03	unknown	21	0.08027368	0.07617368	0.1089006	0.13021143	-98.195786	SPL-297		1
AR-2	PS-2	PLT-4	2	D03	unknown	20	0.26650113	0.26240113	0.37513795	0.44854894	-61.96476	SPL-296		1
AR-2	PS-2	PLT-4	2	C03	unknown	19	0.17899485	0.17489485	0.25003588	0.29896557	-78.98933	SPL-295		1
AR-2	PS-2	PLT-4	2	B03	unknown	18	0.05011433	0.04601433	0.06578372	0.07865698	-104.06336	SPL-294		1
